Title,Video URL,Video ID,Embed URL,HTML Embed Code,Transcript Status
"The 1948 Aztec, New Mexico UFO Crash Retrieval",https://www.youtube.com/watch?v=QJxbyu-9Tj0,QJxbyu-9Tj0,https://www.youtube.com/embed/QJxbyu-9Tj0,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/QJxbyu-9Tj0"" title=""The 1948 Aztec, New Mexico UFO Crash Retrieval"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>",Transcript extraction requires additional API access or tools like yt-dlp with proper configuration
UFO Legacy Programs - Science Applications International Corporation (SAIC),https://www.youtube.com/watch?v=9p99lTsC7wQ,9p99lTsC7wQ,https://www.youtube.com/embed/9p99lTsC7wQ,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/9p99lTsC7wQ"" title=""UFO Legacy Programs - Science Applications International Corporation (SAIC)"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>",Transcript extraction requires additional API access or tools like yt-dlp with proper configuration
1997 Peru UFO Crash Retrieval - the Story of Jonathan Weygandt,https://www.youtube.com/watch?v=7Jc2G5aEH0A,7Jc2G5aEH0A,https://www.youtube.com/embed/7Jc2G5aEH0A,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/7Jc2G5aEH0A"" title=""1997 Peru UFO Crash Retrieval - the Story of Jonathan Weygandt"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>",Transcript extraction requires additional API access or tools like yt-dlp with proper configuration
US Navy UFO Crash Retrieval & Reverse Engineering Programs,https://www.youtube.com/watch?v=H9GSqOEvoBE,H9GSqOEvoBE,https://www.youtube.com/embed/H9GSqOEvoBE,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/H9GSqOEvoBE"" title=""US Navy UFO Crash Retrieval & Reverse Engineering Programs"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>",Transcript extraction requires additional API access or tools like yt-dlp with proper configuration
Deep Underground Military Bases (D.U.M.Bs.) - UFO Legacy Programs,https://www.youtube.com/watch?v=7Ats0lIy3Lo,7Ats0lIy3Lo,https://www.youtube.com/embed/7Ats0lIy3Lo,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/7Ats0lIy3Lo"" title=""Deep Underground Military Bases (D.U.M.Bs.) - UFO Legacy Programs"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>",Transcript extraction requires additional API access or tools like yt-dlp with proper configuration
Dugway Proving Ground - UFO Legacy Programs,https://www.youtube.com/watch?v=_3Zt6qJPfQo,_3Zt6qJPfQo,https://www.youtube.com/embed/_3Zt6qJPfQo,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/_3Zt6qJPfQo"" title=""Dugway Proving Ground - UFO Legacy Programs"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>",Transcript extraction requires additional API access or tools like yt-dlp with proper configuration
UFO Legacy Programs - Northrop Grumman,https://www.youtube.com/watch?v=QLLNgqJNZJo,QLLNgqJNZJo,https://www.youtube.com/embed/QLLNgqJNZJo,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/QLLNgqJNZJo"" title=""UFO Legacy Programs - Northrop Grumman"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>",Transcript extraction requires additional API access or tools like yt-dlp with proper configuration
Philip J. Corso - US Army UFO Technology Research & Development,https://www.youtube.com/watch?v=5-1-Wd6Qf5Y,5-1-Wd6Qf5Y,https://www.youtube.com/embed/5-1-Wd6Qf5Y,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/5-1-Wd6Qf5Y"" title=""Philip J. Corso - US Army UFO Technology Research & Development"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>",Transcript extraction requires additional API access or tools like yt-dlp with proper configuration
Alien Reproduction Vehicle - TR-3B and the Flying Triangles,https://www.youtube.com/watch?v=B7JP0uX0GwY,B7JP0uX0GwY,https://www.youtube.com/embed/B7JP0uX0GwY,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/B7JP0uX0GwY"" title=""Alien Reproduction Vehicle - TR-3B and the Flying Triangles"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>",Transcript extraction requires additional API access or tools like yt-dlp with proper configuration
Alien Reproduction Vehicle - the Testimony of Mark McCandlish,https://www.youtube.com/watch?v=wF07QMm6joE,wF07QMm6joE,https://www.youtube.com/embed/wF07QMm6joE,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/wF07QMm6joE"" title=""Alien Reproduction Vehicle - the Testimony of Mark McCandlish"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>",Transcript extraction requires additional API access or tools like yt-dlp with proper configuration
